Ticker,XLK,XLE,XLF,XLV,XLP,XLU,XLY,SPY
2018-01-02,29.8729190826416,25.74725914001465,23.884136199951172,72.72332763671875,45.31456756591797,20.132579803466797,46.275238037109375,236.56216430664062
2018-01-03,30.122098922729492,26.132856369018555,24.012454986572266,73.41917419433594,45.29854202270508,19.974422454833984,46.487701416015625,238.0584259033203
2018-01-04,30.274368286132812,26.29060935974121,24.234874725341797,73.5235595703125,45.42676544189453,19.808544158935547,46.640113830566406,239.06179809570312
2018-01-05,30.592750549316406,26.28009033203125,24.30331039428711,74.1498031616211,45.627140045166016,19.800827026367188,47.00961685180664,240.6549530029297
2018-01-08,30.708110809326172,26.437833786010742,24.269094467163086,73.88018035888672,45.73933792114258,19.985998153686523,47.065040588378906,241.09506225585938
2018-01-09,30.62966537475586,26.371225357055664,24.457294464111328,74.74995422363281,45.67522430419922,19.789262771606445,47.15742492675781,241.6407012939453
2018-01-10,30.52353858947754,26.339675903320312,24.6626033782959,74.6195068359375,45.450809478759766,19.573240280151367,47.12508010864258,241.27102661132812
2018-01-11,30.64811897277832,26.879512786865234,24.782363891601562,74.94132232666016,45.38669967651367,19.49994468688965,47.89180374145508,243.03140258789062
2018-01-12,30.828067779541016,27.13890838623047,25.004777908325195,75.51537322998047,45.40272521972656,19.388076782226562,48.51070785522461,244.61566162109375
2018-01-16,30.708110809326172,26.795385360717773,24.936344146728516,75.8893814086914,45.611106872558594,19.34564208984375,48.1642951965332,243.779541015625
2018-01-17,31.169540405273438,27.03025245666504,25.12453842163086,76.6200180053711,46.132049560546875,19.46522331237793,48.39524841308594,246.10313415527344
2018-01-18,31.224910736083984,26.809404373168945,25.090322494506836,76.63742065429688,45.99580383300781,19.341785430908203,48.35368347167969,245.68955993652344
2018-01-19,31.284894943237305,26.77435302734375,25.269969940185547,76.92445373535156,46.50874328613281,19.28392219543457,48.77397155761719,246.8072967529297
2018-01-22,31.58942985534668,27.352746963500977,25.475276947021484,77.42893981933594,46.861385345458984,19.3109188079834,49.31438064575195,248.81407165527344
2018-01-23,31.727861404418945,27.31068229675293,25.50093650817871,77.05487823486328,46.709102630615234,19.49608039855957,49.73004913330078,249.34214782714844
2018-01-24,31.48331642150879,27.2370662689209,25.67203140258789,77.28105926513672,46.80528259277344,19.37649917602539,49.94252014160156,249.2453155517578
